harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
650000,Balikpapan Utara,70.0,104,SHM,Unfurnished,2,1,2200,1
650000,Balikpapan Utara,120.0,120,SHM,Unfurnished,2,2,1300,1
1000000,Balikpapan Utara,135.0,135,SHM,Unfurnished,2,2,3500,1
1200000,Balikpapan Utara,130.0,120,SHM,Unfurnished,3,2,3500,2
1150000,Balikpapan Utara,46.0,72,SHM,Unfurnished,2,2,1300,1
1450000,Balikpapan Utara,300.0,201,SHM,Unfurnished,5,3,4400,2
570000,Balikpapan Utara,120.0,180,SHM,Unfurnished,3,2,900,1
4000000,Balikpapan Utara,150.0,319,SHM,Unfurnished,4,5,4400,1
3500000,Balikpapan Utara,400.0,330,SHM,Unfurnished,4,5,4400,2
975000,Balikpapan Utara,54.0,168,HGB,Unfurnished,2,1,2200,1
870000,Balikpapan Utara,60.0,150,SHM,Unfurnished,2,1,1300,1
950000,Balikpapan Utara,110.0,120,SHM,Semi-furnished,2,2,2200,1
990000,Balikpapan Utara,110.0,120,SHM,Unfurnished,2,2,2200,1
950000,Balikpapan Utara,100.0,60,HGB,Unfurnished,2,2,1300,2
1100000,Balikpapan Utara,128.0,128,SHM,Unfurnished,3,2,2200,1
600000,Balikpapan Utara,70.0,90,SHM,Unfurnished,2,1,1300,1
1400000,Batu Ampar,240.0,240,SHM,Unfurnished,3,2,2200,1
1300000,Balikpapan Utara,243.0,250,SHM,Semi-furnished,6,2,1300,1
1200000,Balikpapan Utara,130.0,150,SHM,Unfurnished,3,2,1300,1
2300000,Balikpapan Utara,80.0,577,SHM,Semi-furnished,4,2,2200,1
1250000,Balikpapan Utara,47.0,60,SHM,Unfurnished,2,2,1300,1
790000,Balikpapan Utara,200.0,200,SHM,Furnished,3,2,1300,1
4900000,Balikpapan Utara,90.0,494,SHM,Unfurnished,3,2,2200,1
300000,Balikpapan Utara,96.0,96,SHM,Unfurnished,6,1,2200,1
850000,Balikpapan Utara,54.0,98,SHM,Unfurnished,3,2,1300,1
470000,Batu Ampar,160.0,160,SHM,Unfurnished,4,2,2200,1
825000,Balikpapan Utara,80.0,113,SHM,Unfurnished,2,1,2200,1
1750000,Balikpapan Utara,88.0,98,SHM,Unfurnished,3,2,1300,1
1370000,Balikpapan Utara,112.0,112,SHM,Unfurnished,2,2,2200,1
1900000,Balikpapan Utara,135.0,235,SHM,Unfurnished,2,2,4400,1
2500000,Balikpapan Utara,200.0,400,SHM,Unfurnished,4,2,1300,1
5500000,Balikpapan Utara,400.0,610,SHM,Unfurnished,3,3,10000,1
1300000,Balikpapan Utara,80.0,144,SHM,Unfurnished,3,1,2200,1
3100000,Balikpapan Utara,200.0,534,SHM,Unfurnished,3,2,2200,1
600000,Balikpapan Utara,140.0,80,SHM,Semi-furnished,2,2,1300,2
850000,Balikpapan Utara,65.0,120,SHM,Unfurnished,3,3,2200,1
1050000,Balikpapan Utara,70.0,90,HGB,Unfurnished,3,2,2200,1
900000,Balikpapan Utara,100.0,78,SHM,Unfurnished,3,2,2200,2
4500000,Balikpapan Utara,400.0,396,SHM,Semi-furnished,6,4,4400,2
1500000,Balikpapan Utara,111.0,157,SHM,Semi-furnished,3,2,4400,1
690000,Balikpapan Utara,60.0,144,SHM,Unfurnished,3,2,1300,1
350000,Balikpapan Utara,36.0,120,HGB,Unfurnished,2,1,1300,1
500000,Balikpapan Utara,96.0,96,SHM,Unfurnished,2,2,2200,1
3500000,Balikpapan Utara,172.0,216,SHM,Unfurnished,3,2,2200,1
2800000,Balikpapan Utara,180.0,256,HGB,Unfurnished,4,4,1300,1
600000,Balikpapan Utara,82.0,91,SHM,Unfurnished,2,1,1300,1
3000000,Balikpapan Utara,220.0,384,SHM,Unfurnished,8,3,3500,1
900000,Balikpapan Utara,252.0,252,SHM,Unfurnished,6,3,1300,1
850000,Balikpapan Utara,180.0,208,SHM,Unfurnished,2,1,1300,1
2700000,Balikpapan Utara,225.0,311,SHM,Unfurnished,4,3,3500,1
2500000,Balikpapan Utara,200.0,400,SHM,Unfurnished,4,2,1300,1
750000,Balikpapan Utara,80.0,163,SHM,Unfurnished,2,2,4400,1
700000,Balikpapan Utara,110.0,110,SHM,Unfurnished,2,1,1300,1
750000,Balikpapan Utara,95.0,111,SHM,Semi-furnished,2,1,1300,1
750000,Balikpapan Utara,90.0,90,SHM,Unfurnished,2,2,2200,1
900000,Balikpapan Utara,108.0,330,SHM,Unfurnished,5,2,1300,1
1050000,Balikpapan Utara,54.0,168,HGB,Unfurnished,2,1,1300,1
980000,Balikpapan Utara,110.0,120,SHM,Unfurnished,2,2,2200,1
1500000,Balikpapan Utara,98.0,210,SHM,Unfurnished,3,2,1300,1
1450000,Balikpapan Utara,269.0,211,SHM,Unfurnished,4,2,2200,2
1450000,Balikpapan Utara,300.0,201,SHM,Unfurnished,5,3,4400,2
1500000,Balikpapan Utara,100.0,200,SHM,Unfurnished,3,2,3500,1
930000,Balikpapan Utara,112.0,80,SHM,Unfurnished,3,2,2200,2
750000,Balikpapan Utara,60.0,120,SHM,Unfurnished,2,1,2200,1
850000,Balikpapan Utara,90.0,120,SHM,Unfurnished,3,2,2200,1
875000,Balikpapan Utara,90.0,120,SHM,Unfurnished,3,2,2200,1
2500000,Balikpapan Utara,500.0,311,SHM,Unfurnished,6,5,2200,2
