harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik
1500000,Balikpapan Selatan,207,144,SHM,Semi-furnished,5,3,4400
3100000,Balikpapan Utara,200,534,SHM,Unfurnished,3,2,2200
600000,Balikpapan Utara,140,80,SHM,Semi-furnished,2,2,1300
510000,Balikpapan Tengah,150,201,SHM,Unfurnished,3,2,1300
850000,Balikpapan Utara,65,120,SHM,Unfurnished,3,3,2200
1050000,Balikpapan Utara,70,90,HGB,Unfurnished,3,2,2200
900000,Balikpapan Utara,100,78,SHM,Unfurnished,3,2,2200
4500000,Balikpapan Utara,400,396,SHM,Semi-furnished,6,4,4400
2500000,Balikpapan Baru,100,305,SHM,Unfurnished,3,2,2200
1500000,Balikpapan Utara,111,157,SHM,Semi-furnished,3,2,4400
690000,Balikpapan Utara,60,144,SHM,Unfurnished,3,2,1300
600000,Balikpapan Selatan,57,93,HGB,Unfurnished,2,1,1300
350000,Balikpapan Utara,36,120,HGB,Unfurnished,2,1,1300
500000,Balikpapan Utara,96,96,SHM,Unfurnished,2,2,2200
5500000,Balikpapan Selatan,350,500,SHM,Unfurnished,3,3,5500
500000,Balikpapan Timur,60,75,HGB,Unfurnished,2,1,1300
850000,Balikpapan Selatan,120,150,SHM,Unfurnished,3,2,2200
2700000,Balikpapan Baru,155,320,SHM,Unfurnished,4,3,5500
3500000,Balikpapan Utara,172,216,SHM,Unfurnished,3,2,2200
750000,Balikpapan Selatan,100,150,SHM,Unfurnished,3,2,2200
3950000,Balikpapan Selatan,200,180,HGB,Unfurnished,3,3,2200
2800000,Balikpapan Utara,180,256,HGB,Unfurnished,4,4,1300
600000,Balikpapan Utara,82,91,SHM,Unfurnished,2,1,1300
695000,Balikpapan Selatan,45,80,SHM,Unfurnished,2,1,1300
2800000,Balikpapan Selatan,150,160,SHM,Unfurnished,4,3,4400
2200000,Balikpapan Selatan,150,221,SHM,Unfurnished,3,2,3500
2400000,Balikpapan Kota,250,144,HGB,Unfurnished,2,3,2200
1850000,Balikpapan Kota,80,120,SHM,Unfurnished,3,2,1300
900000,Balikpapan Timur,150,404,SHM,Unfurnished,3,2,1300
800000,Balikpapan Selatan,84,168,SHM,Furnished,2,1,1300
900000,Balikpapan Selatan,100,104,SHM,Furnished,4,2,1300
1650000,Balikpapan Baru,64,165,SHM,Unfurnished,3,2,1300
1120000,Balikpapan Tengah,90,84,SHM,Unfurnished,3,3,2200
3700000,Balikpapan Selatan,242,315,SHM,Unfurnished,3,3,6600
450000,Balikpapan Selatan,50,105,SHM,Unfurnished,2,1,1300
1500000,Balikpapan Selatan,90,120,SHM,Unfurnished,3,2,3500
3500000,Balikpapan Tengah,175,315,SHM,Unfurnished,3,2,2200
750000,Balikpapan Selatan,120,150,SHM,Unfurnished,3,2,1300
400000,Balikpapan Selatan,56,72,SHM,Unfurnished,2,1,1300
1650000,Balikpapan Selatan,95,152,SHM,Unfurnished,3,2,2200
1100000,Balikpapan Selatan,60,108,SHM,Unfurnished,3,3,1300
800000,Balikpapan Selatan,230,162,SHM,Unfurnished,4,2,1300
4800000,Balikpapan Baru,225,400,SHM,Unfurnished,4,4,3500
880000,Balikpapan Tengah,47,60,HGB,Unfurnished,2,2,1300
3000000,Balikpapan Utara,220,384,SHM,Unfurnished,8,3,3500
900000,Balikpapan Utara,252,252,SHM,Unfurnished,6,3,1300
2500000,Balikpapan Kota,111,180,SHM,Unfurnished,4,3,4400
1000000,Balikpapan Selatan,200,240,SHM,Unfurnished,3,2,2200
650000,Balikpapan Selatan,92,140,SHM,Unfurnished,2,2,2200
1500000,Balikpapan Selatan,200,299,SHM,Unfurnished,4,2,3500
595000,Balikpapan Selatan,45,112,SHM,Unfurnished,2,1,1300
1700000,Balikpapan Selatan,115,120,SHM,Unfurnished,5,3,2200
1800000,Balikpapan Selatan,120,100,SHM,Unfurnished,3,3,2200
850000,Balikpapan Utara,180,208,SHM,Unfurnished,2,1,1300
4500000,Balikpapan Tengah,250,300,SHM,Unfurnished,3,4,6600
2800000,Balikpapan Selatan,225,354,SHM,Unfurnished,4,3,4400
800000,Balikpapan Timur,80,150,SHM,Unfurnished,2,2,2200
2700000,Balikpapan Utara,225,311,SHM,Unfurnished,4,3,3500
2400000,Balikpapan Selatan,250,215,SHM,Unfurnished,5,3,3500
2500000,Balikpapan Utara,200,400,SHM,Unfurnished,4,2,1300
1500000,Balikpapan Selatan,61,108,SHM,Unfurnished,2,2,2200
530000,Balikpapan Selatan,45,75,SHM,Unfurnished,2,1,1300
1200000,Balikpapan Selatan,150,180,SHM,Unfurnished,3,2,2200
900000,Balikpapan Timur,90,114,SHM,Unfurnished,3,1,1300
1500000,Balikpapan Selatan,200,256,SHM,Unfurnished,4,3,2200
3300000,Balikpapan Selatan,230,215,SHM,Unfurnished,4,3,3500
2050000,Balikpapan Selatan,108,200,SHM,Unfurnished,3,3,2200
750000,Balikpapan Utara,80,163,SHM,Unfurnished,2,2,4400
5000000,Balikpapan Selatan,400,499,SHM,Unfurnished,5,4,4400
4500000,Balikpapan Selatan,380,475,SHM,Unfurnished,3,2,7600
3500000,Balikpapan Selatan,298,160,SHM,Unfurnished,4,3,5500
1400000,Balikpapan Selatan,100,144,SHM,Unfurnished,4,2,2200
1100000,Balikpapan Selatan,100,134,SHM,Unfurnished,3,2,3500
700000,Balikpapan Utara,110,110,SHM,Unfurnished,2,1,1300
370000,Balikpapan Selatan,72,72,SHM,Semi-furnished,2,1,1300
470000,Balikpapan Tengah,154,180,SHM,Furnished,3,2,900
750000,Balikpapan Utara,95,111,SHM,Semi-furnished,2,1,1300
750000,Balikpapan Utara,90,90,SHM,Unfurnished,2,2,2200
900000,Balikpapan Utara,108,330,SHM,Unfurnished,5,2,1300
1300000,Balikpapan Selatan,91,350,SHM,Unfurnished,3,2,1300
450000,Balikpapan Tengah,30,173,SHM,Unfurnished,3,1,2200
1850000,Balikpapan Selatan,150,150,SHM,Semi-furnished,4,3,3500
925000,Balikpapan Selatan,60,90,HGB,Unfurnished,2,1,1300
1050000,Balikpapan Utara,54,168,HGB,Unfurnished,2,1,1300
980000,Balikpapan Utara,110,120,SHM,Unfurnished,2,2,2200
3000000,Balikpapan Baru,400,320,SHM,Unfurnished,3,3,2200
1750000,Balikpapan Baru,136,120,HGB,Unfurnished,4,2,2200
1050000,Balikpapan Selatan,100,57,SHM,Furnished,2,2,2200
2200000,Balikpapan Selatan,220,374,SHM,Unfurnished,3,2,6600
1600000,Balikpapan Selatan,70,170,HGB,Unfurnished,3,2,1300
800000,Balikpapan Selatan,120,167,SHM,Unfurnished,3,2,1300
830000,Balikpapan Selatan,115,84,SHM,Unfurnished,4,1,2200
550000,Balikpapan Selatan,60,150,SHM,Unfurnished,2,2,1300
425000,Balikpapan Tengah,85,98,SHM,Unfurnished,3,1,900
1500000,Balikpapan Utara,98,210,SHM,Unfurnished,3,2,1300
580000,Balikpapan Tengah,50,171,SHM,Unfurnished,3,1,1300
1700000,Balikpapan Selatan,79,126,HGB,Unfurnished,3,2,2200
550000,Balikpapan Tengah,160,166,SHM,Unfurnished,3,1,900
675000,Balikpapan Selatan,36,157,SHM,Unfurnished,2,1,900
935000,Balikpapan Tengah,50,120,SHM,Unfurnished,2,1,1300
1450000,Balikpapan Utara,269,211,SHM,Unfurnished,4,2,2200
680000,Balikpapan Tengah,42,78,SHM,Unfurnished,2,1,1300
1060000,Balikpapan Tengah,36,185,SHM,Unfurnished,2,1,1300
3000000,Balikpapan Barat,550,600,SHM,Unfurnished,7,7,1300
1350000,Balikpapan Selatan,141,108,HGB,Unfurnished,3,3,16500
1550000,Balikpapan Selatan,144,160,HGB,Unfurnished,2,2,1300
4000000,Balikpapan Selatan,160,400,SHM,Unfurnished,3,2,3500
607000,Balikpapan Tengah,36,72,SHM,Unfurnished,2,1,1300
1450000,Balikpapan Utara,300,201,SHM,Unfurnished,5,3,4400
1500000,Balikpapan Utara,100,200,SHM,Unfurnished,3,2,3500
850000,Balikpapan Selatan,100,120,SHM,Unfurnished,3,2,1300
4500000,Balikpapan Selatan,308,342,SHM,Unfurnished,4,4,5500
1190000,Balikpapan Selatan,70,162,HGB,Unfurnished,2,1,2200
1900000,Balikpapan Selatan,100,212,SHM,Unfurnished,2,1,2200
930000,Balikpapan Utara,112,80,SHM,Unfurnished,3,2,2200
1300000,Balikpapan Selatan,250,450,SHM,Unfurnished,5,3,2200
1100000,Balikpapan Selatan,200,170,SHM,Unfurnished,4,3,2200
1400000,Balikpapan Selatan,184,287,SHM,Semi-furnished,4,3,2200
4500000,Balikpapan Kota,199,356,SHM,Unfurnished,4,1,5500
1900000,Balikpapan Tengah,300,214,SHM,Unfurnished,5,4,4400
550000,Balikpapan Tengah,40,78,SHM,Unfurnished,2,1,1300
500000,Balikpapan Selatan,96,96,SHM,Unfurnished,2,1,1300
900000,Balikpapan Selatan,120,200,SHM,Unfurnished,3,1,2200
750000,Balikpapan Utara,60,120,SHM,Unfurnished,2,1,2200
1700000,Balikpapan Selatan,215,191,SHM,Unfurnished,3,2,2200
850000,Balikpapan Utara,90,120,SHM,Unfurnished,3,2,2200
875000,Balikpapan Utara,90,120,SHM,Unfurnished,3,2,2200
1900000,Balikpapan Baru,130,195,SHM,Unfurnished,3,1,2200
670000,Balikpapan Selatan,120,142,SHM,Unfurnished,3,1,1300
2500000,Balikpapan Utara,500,311,SHM,Unfurnished,6,5,2200
1100000,Balikpapan Tengah,204,204,SHM,Unfurnished,4,3,2200
