harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai
1500000,Sambutan,108.0,200.0,SHM,Non-furnished,3,2,3500,1
2000000,Loa Janan Ilir,150.0,391.0,HGB,Non-furnished,3,2,2200,1
2300000,Samarinda Kota,250.0,163.0,SHM,Fully-furnished,3,3,4400,2
2800000,Samarinda Ulu,162.0,407.0,SHM,Non-furnished,3,2,2200,1
8250000,Samarinda Ilir,350.0,366.0,SHM,Non-furnished,5,4,2200,1
2000000,Samarinda Kota,200.0,270.0,SHM,Non-furnished,2,1,1300,1
1480000,Samarinda Ilir,100.0,140.0,HGB,Non-furnished,2,1,900,1
1890000,Samarinda Ilir,100.0,140.0,HGB,Non-furnished,3,2,1300,1
950000,Samarinda Kunjang,120.0,147.0,SHM,Non-furnished,2,1,1300,1
1700000,Samarinda Ilir,128.0,128.0,SHM,Non-furnished,3,2,1300,1
1800000,Samarinda Kota,250.0,250.0,SHM,Fully-furnished,4,4,2200,1
650000,Samarinda Kota,144.0,144.0,SHM,Non-furnished,4,1,2200,1
4900000,Samarinda Ilir,400.0,300.0,SHM,Non-furnished,5,3,4400,2
2000000,Samarinda Ilir,14.0,11.0,SHM,Non-furnished,4,4,2200,2
1800000,Samarinda Ilir,78.0,186.0,SHM,Non-furnished,3,3,2200,1
4900000,Samarinda Ilir,400.0,300.0,SHM,Fully-furnished,5,3,4400,2
2250000,Samarinda Ilir,144.0,144.0,SHM,Non-furnished,4,3,2200,1
1990000,Samarinda Ilir,96.0,126.0,HGB,Non-furnished,3,2,1300,1
1700000,Samarinda Ilir,250.0,241.0,SHM,Non-furnished,8,2,2200,2
3000000,Samarinda Kota,400.0,367.0,SHM,Non-furnished,6,6,3500,2
3500000,Samarinda Kota,200.0,225.0,SHM,Non-furnished,4,1,2200,1
3500000,Samarinda Kota,600.0,300.0,SHM,Non-furnished,6,4,5500,2
2900000,Samarinda Kota,200.0,196.0,HGB,Fully-furnished,5,3,2200,2
2440000,Samarinda Kota,144.0,128.0,HGB,Non-furnished,5,4,2200,2
