Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
1540000000," Samarinda, Samarinda Ulu",Rumah,,45.0,140.0,HGB,
800000000," Samarinda, Samarinda Ulu",Rumah,Secondary,105.0,120.0,SHM,
704350000," Samarinda, Loa Janan Ilir",Rumah,,38.0,108.0,HGB,
1800000000," Samarinda, Samarinda Ulu",Rumah,Secondary,100.0,150.0,SHM,Fully-furnished
950000000," Samarinda, Samarinda Utara",Rumah,Secondary,120.0,120.0,SHM,Semi-furnished
388000000," Samarinda, Samarinda Seberang",Rumah,,145.0,160.0,SHM,
1500000000," Samarinda, Samarinda Utara",Rumah,,150.0,120.0,SHM,
2080000000," Samarinda, Sungai Pinang",Rumah,Primary,93.0,140.0,HGB,Non-furnished
1400000000," Samarinda, Samarinda Ulu",Rumah,Secondary,75.0,150.0,SHM,
1605000000," Samarinda, Samarinda Ulu",Rumah,Secondary,170.0,200.0,SHM,
560120000," Samarinda, Samarinda Seberang",Rumah,,39.0,72.0,HGB,
3500000000," Samarinda, Samarinda Kota",Rumah,Secondary,400.0,367.0,SHM,
1400000000," Samarinda, Samarinda Ulu",Rumah,,187.5,150.0,SHM,
1645000000," Samarinda, Sungai Pinang",Rumah,Secondary,59.0,105.0,HGB,Semi-furnished
2980000000," Samarinda, Sungai Pinang",Rumah,Primary,186.0,180.0,SHM,Non-furnished
2200000000," Samarinda, Samarinda Ulu",Rumah,Secondary,172.0,150.0,SHM,Non-furnished
2145000000," Samarinda, Sungai Pinang",Rumah,,89.0,227.0,SHM,
2080000000," Samarinda, Sungai Pinang",Rumah,Primary,93.0,140.0,HGB,Non-furnished
450000000," Samarinda, Samarinda Seberang",Rumah,Secondary,100.0,150.0,Lain-lain,
6000000000," Samarinda, Samarinda Ulu",Rumah,Secondary,269.0,246.0,SHM,Semi-furnished
1200000000," Samarinda, Samarinda Utara",Rumah,Primary,81.63,72.0,SHM,
27000000000," Samarinda, Samarinda Kota",Rumah,Secondary,800.0,1750.0,SHM,Non-furnished
5000000000," Samarinda, Samarinda Kota",Rumah,Secondary,220.0,288.0,SHM,
2200000000," Samarinda, Samarinda Kunjang",Rumah,Secondary,120.0,447.0,SHM,Semi-furnished
3000000000," Samarinda, Samarinda Utara",Rumah,,282.0,382.0,SHM,
3560000000," Samarinda, Samarinda Kota",Rumah,Primary,197.0,225.0,HGB,Non-furnished
2980000000," Samarinda, Samarinda Kota",Rumah,Primary,186.0,180.0,HGB,Non-furnished
2080000000," Samarinda, Samarinda Utara",Rumah,Primary,93.0,140.0,HGB,Non-furnished
400000000," Samarinda, Samarinda Utara",Rumah,Secondary,80.0,100.0,SHM,Fully-furnished
920000000," Samarinda, Samarinda Ulu",Rumah,,38.0,98.0,HGB,
621040000," Samarinda, Loa Janan Ilir",Rumah,,45.0,105.0,PPJB,
853670000," Samarinda, Loa Janan Ilir",Rumah,,57.0,120.0,PPJB,
