judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kondisi Perabotan
Ruko strategis murah di panglima batur samarinda kota,https://www.rumah123.com//properti/samarinda/hos17125695/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1037522/2024-05-16-16-28-04-efb2a76b-59a8-42a1-84d7-5aeadc6d1bc2.jpg,Ruko strategis murah di panglima batur samarinda kota,"Rp 16,5 Miliar","Samarinda Kota, Samarinda",N/A,3,302 m²,730 m²,4,Rumah,SHM - Sertifikat Hak Milik,N/A,N/A
Rumah Terawat Siap Huni Di Perumahan Samarinda,https://www.rumah123.com//properti/samarinda/hos14085676/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2023-09-18-05-55-17-f6db9f02-0e50-42be-bc5a-ac3b81b670de.jpg,Rumah Terawat Siap Huni Di Perumahan Samarinda,"Rp 1,6 Miliar","Samarinda Ulu, Samarinda",2,2,131 m²,60 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,N/A
Rumah Jual Citra Grand Senyiur Samarinda,https://www.rumah123.com//properti/samarinda/hos16768670/,https://picture.rumah123.com/r123-images/720x420-crop/customer/75491/2024-03-26-03-49-54-49b03237-d470-4194-b577-6ddbf38ac911.jpg,Rumah Jual Citra Grand Senyiur Samarinda,Rp 460 Juta,"Loa Janan Ilir, Samarinda",2,1,90 m²,36 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,N/A
RUMAH MINIMALIS,https://www.rumah123.com//properti/samarinda/hos17734266/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2051733/2024-07-31-13-46-12-fe9887b2-1211-4aef-9849-230072c1ed7f-1722408372.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Sederhana Di GreenLand,https://www.rumah123.com//properti/samarinda/hos17611909/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892262/2024-07-17-07-37-21-cb9459f8-e8c9-4fb1-a5d7-6fb0c8a3052f-1721176641.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
rumah Samarinda hill,https://www.rumah123.com//properti/samarinda/hos17280415/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1885318/2024-06-05-08-23-27-e36aef69-1492-4a8d-8707-4bcf5f455ccd-1717550607.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH SAMARINDA HILL,https://www.rumah123.com//properti/samarinda/hos17280356/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1885318/2024-06-05-08-15-43-6aa4b003-ef9c-49e9-ac4c-744bc929e50e-1717550143.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH PERUMAHAN GRAND MAHAKAM SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17280244/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972023/2024-06-05-07-45-26-1b2e38e3-942f-4d44-a88e-3805a0e01e9a-1717548326.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DI  RUMAH PERUMAHAN BUMI SEMPAJA SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17280232/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972023/2024-06-05-07-41-39-9fd0d857-e7c2-4f3e-9c03-6b7a2863234b-1717548099.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH  PINGGIR JALAN POROS BESERTA KAMAR KOST,https://www.rumah123.com//properti/samarinda/hos17229651/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1795978/2024-05-29-15-42-47-0c2a22e7-559d-43fc-a226-418a36ef1f04-1716972167.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
