judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kondisi Perabotan
RUMAH YANG HOMEY DAN MENYEJUKAN FURNISHED DI SAMARINDA,https://www.rumah123.com//properti/samarinda/hos13406821/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1795978/2024-04-24-07-29-28-c8d0f291-81cc-47ee-b6c3-1669b44070c3-1713918568.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SAMARINDA RUMAH MINIMALIS SHM COCOK BUAT KELUARGA BARU,https://www.rumah123.com//properti/samarinda/hos12717590/,https://pic.rumah123.com/r123/720x420-crop/house/ho12/12717590/original/hos12717590-rumah-di-jual-di-sungai-pinang-samarinda-1676084747.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Murah Tepi Jalan Tengah Kota Samarinda,https://www.rumah123.com//properti/samarinda/hos12686614/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2023-09-18-06-45-20-34b6d408-1a99-46c8-a3d3-4bb5ab9f1ca4.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah kondisi rapi dan furnished di perum Villa Tamara Samarinda,https://www.rumah123.com//properti/samarinda/hos7775464/?itm_source=organic&itm_medium=LDP Labeled,https://pic.rumah123.com/r123/720x420-crop/house/ho77/7775464/original/hos7775464-rumah-di-jual-di-samarinda-ulu-samarinda-16105114951618.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MEWAH DAN MEGAH INDAH MEMPESONA,https://www.rumah123.com//properti/samarinda/hos17722564/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1692135/2024-07-30-10-42-51-3504d8d0-d0d5-4537-82bf-692f761a6686-1722310971.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MEWAH DAN MEGAH INDAH MEMPESONA,https://www.rumah123.com//properti/samarinda/hos17722563/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892262/2024-07-30-10-42-49-41c93d6b-56ab-4713-ad4a-d4f23427b6ce-1722310969.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MEWAH SIAP HUNI,https://www.rumah123.com//properti/samarinda/hos17721024/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/2051733/2024-07-30-07-21-25-e162e1ac-9c56-4476-a276-5a8d999420c7-1722298885.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Mewah Terawat Dan Lengkap Di Samarinda,https://www.rumah123.com//properti/samarinda/hos13447914/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2024-01-29-01-30-24-bca29fd5-9aea-4f55-81ed-041140994125.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah murah siap huni di perumahan Citraland,https://www.rumah123.com//properti/samarinda/hos17664547/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1914476/2024-07-23-10-53-50-b01f96ab-455c-40fd-af3b-be8729be2e5c-1721706830.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Siap Huni di Perumahan Bumi Sempaja,https://www.rumah123.com//properti/samarinda/hos17664535/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1914476/2024-07-23-10-52-26-bdf7a836-f722-402d-9ae4-473aa5b14677-1721706746.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Perum Bukit Alaya Cluster Kirana,https://www.rumah123.com//properti/samarinda/hos17664434/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892262/2024-07-23-10-44-06-ff04bcdf-7f69-4945-a523-73c83e975a08-1721706246.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU,https://www.rumah123.com//properti/samarinda/hos17663688/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-47-2dddb20c-06ce-4719-a763-a8d27a234c8a-1721702627.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEPAT RUMAH,https://www.rumah123.com//properti/samarinda/hos17663684/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-45-bfa0eba6-97e4-4279-a2c7-c8936359c376-1721702625.jpg,CEPAT RUMAH,Rp 500 Juta,"Samarinda Kunjang, Samarinda",2,2,120 m²,90 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,900 Watt,N/A
RUMAH BARU,https://www.rumah123.com//properti/samarinda/hos17663683/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-39-08e1e746-2714-4c00-852a-fb9e40f0bf08-1721702619.jpg,RUMAH BARU,Rp 785 Juta,"Samarinda Utara, Samarinda",3,2,108 m²,108 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,N/A
RUMAH BARU SIAP DIHUNI JALAN P.M. NOOR PERUMAHAN BUMI SEMPAJA,https://www.rumah123.com//properti/samarinda/hos17663682/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-36-6584b231-81cc-4275-8bdd-cd4387bbb833-1721702616.jpg,RUMAH BARU SIAP DIHUNI JALAN P.M. NOOR PERUMAHAN BUMI SEMPAJA,Rp 785 Juta,"Samarinda Utara, Samarinda",3,2,108 m²,108 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,N/A
CEPAT RUMAH,https://www.rumah123.com//properti/samarinda/hos17663679/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-30-b7b30267-af4d-46e5-b2ea-738c200d0ed1-1721702610.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEPAT RUMAH SIAP HUNI,https://www.rumah123.com//properti/samarinda/hos17663678/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-28-05b1193b-c461-4251-80ba-98894dd17f0b-1721702608.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH FULL FURNISHED,https://www.rumah123.com//properti/samarinda/hos17663677/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-25-47510671-f687-47a4-9870-ee8dabf8e12d-1721702605.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU,https://www.rumah123.com//properti/samarinda/hos17663676/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-22-79caf509-e847-4710-82eb-56a3ccbf49ae-1721702602.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEPAT RUMAH 2 LANTAI,https://www.rumah123.com//properti/samarinda/hos17663674/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-17-a5681def-8d01-4e56-ab3c-c50f87027ae6-1721702597.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH  CEPAT,https://www.rumah123.com//properti/samarinda/hos17663672/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-11-df752cd7-3dd9-4740-9ff6-e8d20d607816-1721702591.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEPAT RUMAH DIPERUMAHAN,https://www.rumah123.com//properti/samarinda/hos17663671/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-08-794280ef-ddba-4deb-b530-cb5f06757bdf-1721702588.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEPAT RUMAH,https://www.rumah123.com//properti/samarinda/hos17663669/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-43-00-bcc4e094-59b9-4919-95c9-8cbacc5bbfa3-1721702580.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEPAT 2 RUMAH,https://www.rumah123.com//properti/samarinda/hos17663666/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-42-52-902c520f-c20a-42a9-a3a2-4c4245eca04b-1721702572.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU 2 LANTAI,https://www.rumah123.com//properti/samarinda/hos17663665/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-42-49-7bfc2411-58cd-456d-9b09-555b8189cd4a-1721702569.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEPAT RUMAH MINIMALIS,https://www.rumah123.com//properti/samarinda/hos17663663/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-42-44-ab7d6f78-e8b8-48d2-80be-f33db278b054-1721702564.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH FULL FURNISHED,https://www.rumah123.com//properti/samarinda/hos17663662/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-42-41-a9491abc-038b-4303-83d6-55af045afe1f-1721702561.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CEPAT RUMAH SIAP HUNI,https://www.rumah123.com//properti/samarinda/hos17663661/,https://picture.rumah123.com/r123-images/720x420-crop/customer/2045383/2024-07-23-09-42-38-c47b4153-ec5d-4922-84d7-01564819173e-1721702558.jpg,CEPAT RUMAH SIAP HUNI,Rp 750 Juta,"Samarinda Ilir, Samarinda",2,1,144 m²,54 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,N/A
Perum Bukit Alaya Cluster Kirana,https://www.rumah123.com//properti/samarinda/hos17662940/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892262/2024-07-23-08-11-08-f5fdca56-d938-47a1-972b-23a284e30293-1721697068.jpg,Perum Bukit Alaya Cluster Kirana,"Rp 2,1 Miliar","Sungai Pinang, Samarinda",2,2,140 m²,93 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,N/A
Perum Bukit Alaya Cluster Darpa,https://www.rumah123.com//properti/samarinda/hos17662921/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892262/2024-07-23-08-07-41-d4bf4fd0-4ab4-4483-83c3-10b2c7f60c81-1721696861.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PERUM BUKIT ALAYA CLUSTER DENAYA,https://www.rumah123.com//properti/samarinda/hos17662917/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892262/2024-07-23-08-06-55-f34d7848-5f4b-4c4e-825b-8a2181f8f7b5-1721696815.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah cantik  cepat di perumahan Alaya,https://www.rumah123.com//properti/samarinda/hos17662848/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1914476/2024-07-23-07-44-42-347201f6-35b2-4d0a-8de8-c723a403870f-1721695482.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Minimalis Siap Huni Perumahan Borneo Regency Samarinda,https://www.rumah123.com//properti/samarinda/hos17337635/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2024-06-12-05-43-18-5ef00ea2-e86b-4acc-882f-4a3319935611.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Nyaman Dan Murah Siap Huni Tengah Kota Samarinda,https://www.rumah123.com//properti/samarinda/hos17604222/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2024-07-16-03-48-44-f51bdafd-b15c-4e20-9a5b-ee1df61338e8.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH YANG ASRI BERGAYA MINIMALIS KONTEMPORER MODERN DI PERUM SEMPAJA SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17490584/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1795978/2024-07-02-13-36-42-892ef176-9222-4aec-8572-5fdb15da40bc-1719902202.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SAMARINDA, RUMAH MINIMALIS DI GUNUNG LINGAI",https://www.rumah123.com//properti/samarinda/hos17487595/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1676023/2024-07-02-08-22-05-20a3d565-24b9-45a0-a2b6-f970b4f87feb-1719883325.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"SAMARINDA, RUMAH MINIMALIS DI GUNUNG LINGAI",https://www.rumah123.com//properti/samarinda/hos17487594/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1305455/2024-07-02-08-22-02-ad296bbf-312d-4ed8-91ef-ddb6ea1e01eb-1719883322.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Mugirejo Amantis Samarinda,https://www.rumah123.com//properti/samarinda/hos17375459/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1692135/2024-06-18-14-56-34-33f32890-e9a1-44fc-9581-90bcdf98d825-1718697394.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Mugirejo Amantis Samarinda,https://www.rumah123.com//properti/samarinda/hos17375457/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1524689/2024-06-18-14-56-31-66337074-0ffa-4808-8a15-a3a91303f274-1718697391.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH HUNIAN DAN KAMAR KOST,https://www.rumah123.com//properti/samarinda/hos17375067/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892262/2024-06-18-14-20-21-46c0845e-5b57-4ce8-bd13-7373d95a2701-1718695221.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah  di pondok surya,https://www.rumah123.com//properti/samarinda/hos17371850/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1914476/2024-06-18-07-23-22-272ce503-c4a4-41da-920a-45bfd3b38aee-1718670202.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DI  RUMAH DALAM PERUMAHAN SEJAHTERA PERMAI SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17371836/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972023/2024-06-18-07-14-57-91bb9276-9e6e-4b62-afc6-fc5f2122da18-1718669697.jpg,DI  RUMAH DALAM PERUMAHAN SEJAHTERA PERMAI SAMARINDA,Rp 1 Miliar,"Sungai Pinang, Samarinda",4,3,150 m²,230 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,N/A
DI  RUMAH PERUMAHAN BUMI SEMPAJA SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17371834/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1972023/2024-06-18-07-14-23-b64061db-824c-4def-8560-09d16829ce1d-1718669663.jpg,DI  RUMAH PERUMAHAN BUMI SEMPAJA SAMARINDA,Rp 875 Juta,"Samarinda Utara, Samarinda",3,1,200 m²,57 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,450 Watt,N/A
RUMAH DI SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17275553/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1676023/2024-06-04-14-46-11-5aa120b1-e801-4785-87ee-a1f5e92d35bc-1717487171.jpg,RUMAH DI SAMARINDA,Rp 1 Miliar,"Sungai Pinang, Samarinda",2,2,136 m²,136 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,900 Watt,N/A
RUMAH MEWAH DAN MEGAH INDAH MEMPESONA,https://www.rumah123.com//properti/samarinda/hos17217880/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892262/2024-05-28-12-57-38-93eac737-b755-413e-a4c2-f5f9cad111d5-1716875858.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MEWAH DAN LUAS LOA BAKUNG,https://www.rumah123.com//properti/samarinda/hos17213428/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1892262/2024-05-28-08-09-41-8b17fd8a-9f11-4a38-af21-3127acfdeb6d-1716858581.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH SIAP HUNI DIPERUMAHAN ELIT SAMARINDA ULU 8318,https://www.rumah123.com//properti/samarinda/hos17167055/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-05-21-14-28-20-d31efa74-4f64-4675-b256-afa3957d3c93.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah 1 lantai setengah  di perumahan pondok surya,https://www.rumah123.com//properti/samarinda/hos17161212/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1914476/2024-05-24-10-02-00-145c7349-023c-4bd6-8ff4-d1147f980bb6-1716519720.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH SIAP HUNI TENGAH KOTA SAMARINDA BEBAS BANJIR 9720 ,https://www.rumah123.com//properti/samarinda/hos17104410/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-05-14-15-51-00-04f44f75-8b21-40e4-86fa-5ae3acc6e7f0.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU TIPE 70 MURAH KOTA SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17097429/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1795978/2024-05-14-11-16-58-d5d2f271-f3b3-4694-ab5d-ce8bf244ffea-1715660218.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH HUNIAN NYAMAN DI KOTA SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17095735/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1795978/2024-05-14-08-59-59-a989f3c8-c21b-420d-a45e-90765ae2c0cb-1715651999.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH CANTIK MEWAH FULL FURNISHED 2 LANTAI SIAP HUNI DI PONDOK SURYA INDAH SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17095623/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1692135/2024-05-14-08-43-45-82ce1a76-7b37-4615-a87d-ca5c15837692-1715651025.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH MEWAH DENGAN ROOFTOP VIEW CITRALAND CITY,https://www.rumah123.com//properti/samarinda/hos17095291/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1795978/2024-05-14-07-31-05-f797a824-ab75-42e1-8fc3-c522cfa363e8-1715646665.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah asri bersih gaya Mediterania di bukit mediterania samarinda,https://www.rumah123.com//properti/samarinda/hos17042872/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1924506/2024-05-07-05-40-23-3e66a570-f860-4568-96fc-ba050ad16566.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH DENGAN PARKIRAN LUAS DEKAT BIGMALL SAMARINDA,https://www.rumah123.com//properti/samarinda/hos17042536/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1795978/2024-05-07-11-58-36-92079e0e-e0ee-42ef-9aa7-46b2339dffb4-1715057916.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah 2 lantai dekat pintu tol balikpapan-samarinda,https://www.rumah123.com//properti/samarinda/hos16418936/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1924596/2024-02-19-04-26-30-931a012f-c43e-4be8-a15e-30c310af236f.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH CANTIK 2 LANTAI DI KARPOTEK dekat big mall,https://www.rumah123.com//properti/samarinda/hos17039294/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1692135/2024-05-07-07-33-32-12cc753b-5942-424e-bc6c-799afb823bfa-1715042012.jpg,RUMAH CANTIK 2 LANTAI DI KARPOTEK dekat big mall,"Rp 2,1 Miliar","Samarinda Kunjang, Samarinda",6,4,205 m²,200 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,N/A
kos-kos Cantik dekat UNMUL samarinda,https://www.rumah123.com//properti/samarinda/hos16986832/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1676023/2024-04-30-12-44-57-fdedaf94-36e6-40ee-aa59-225e3fe13d50-1714455897.jpg,kos-kos Cantik dekat UNMUL samarinda,Rp 3 Miliar,"Samarinda Kota, Samarinda",9,9,210 m²,200 m²,N/A,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,N/A
RUMAH  DI SAMARINDA WONOSARI,https://www.rumah123.com//properti/samarinda/hos16985921/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1676023/2024-04-30-11-27-58-365c23a0-948c-4567-822f-8e9a5136913d-1714451278.jpg,RUMAH  DI SAMARINDA WONOSARI,Rp 800 Juta,"Sambutan, Samarinda",3,1,200 m²,63 m²,N/A,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",1300 Watt,N/A
RUMAH BARU SIAP DIHUNI JALAN P.M. NOOR PERUMAHAN BUMI SEMPAJA,https://www.rumah123.com//properti/samarinda/hos16879014/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1945074/2024-07-23-09-43-39-5e1101ad-efcb-4468-a090-77b65d2a1827-1721702619.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hunian mewah di perumahan Sempaja,https://www.rumah123.com//properti/samarinda/hos16878979/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16878979/original/hos16878979-rumah-di-jual-di-samarinda-utara-samarinda-1713226329.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH CANTIK MODERN DIPERUMAHAN ELIT SAMARINDA KOTA  0550,https://www.rumah123.com//properti/samarinda/hos16484763/?itm_source=organic&itm_medium=LDP Labeled,https://picture.rumah123.com/r123-images/720x420-crop/customer/1893175/2024-02-24-13-37-29-bca1b168-e31d-4e87-bc0b-6491f7251c0b.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH BARU SIAP DIHUNI JALAN P.M. NOOR PERUMAHAN BUMI SEMPAJA,https://www.rumah123.com//properti/samarinda/hos16769931/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16769931/original/hos16769931-rumah-di-jual-di-samarinda-utara-samarinda-1711431630.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH SIAP HUNI PERUMAHAN BUMI SEMPAJA,https://www.rumah123.com//properti/samarinda/hos16767204/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16767204/original/hos16767204-rumah-di-jual-di-samarinda-utara-samarinda-1711413880.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DI  RUMAH DAN TANAH PALARAN SAMARINDA,https://www.rumah123.com//properti/samarinda/hos16767199/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16767199/original/hos16767199-rumah-di-jual-di-palaran-samarinda-1711413704.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah Cantik dan Nyaman,https://www.rumah123.com//properti/samarinda/hos16767192/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1945074/2024-06-15-12-17-16-359fb545-6ac3-4abd-905a-b69a8319af7b-1718428636.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH DI  JALAN LAMBUNG MANGKURAT SAMARINDA,https://www.rumah123.com//properti/samarinda/hos16705764/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16705764/original/hos16705764-rumah-di-jual-di-samarinda-kota-samarinda-1710809857.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH 1.5 LANTAI DI JL BELATUK,https://www.rumah123.com//properti/samarinda/hos16705683/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16705683/original/hos16705683-rumah-di-jual-di-sungai-pinang-samarinda-1710808262.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DI  RUMAH ALAYA CLUSTER CANARY,https://www.rumah123.com//properti/samarinda/hos16640505/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16640505/original/hos16640505-rumah-di-jual-di-samarinda-utara-samarinda-1710472407.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RUMAH ALAYA CLUSTER DAMAR,https://www.rumah123.com//properti/samarinda/hos16640497/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16640497/original/hos16640497-rumah-di-jual-di-samarinda-utara-samarinda-1710472404.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rumah jalan D.I Panjaitan Perumahan CitraLand City Cluster Monteglia,https://www.rumah123.com//properti/samarinda/hos16638017/,https://pic.rumah123.com/r123/720x420-crop/house/ho16/16638017/original/hos16638017-rumah-di-jual-di-samarinda-ilir-samarinda-1710206302.jpg,Tidak ada judul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
