harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 720 Juta Rp 50 Juta,"Kalimantan Timur, Samarinda, Palaran",216 m2,216 m2,SHM,Non-furnished,2,2,N/A,1300 Watt
"Rp 2,45 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",140 m2,105 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",82 m2,72 m2,HGB,Non-furnished,3,2,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Samarinda, Loa Janan Ilir",300 m2,162 m2,SHM,Fully-furnished,3,3,N/A,2200 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Samarinda Utara",40 m2,120 m2,HGB,-,3,2,N/A,2200 Watt
Rp 420 Juta,"Kalimantan Timur, Samarinda, Sungai Kunjang",36 m2,90 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"Rp 2,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Utara",300 m2,212 m2,SHM,-,5,4,N/A,3500 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",680 m2,544 m2,SHM,-,8,5,N/A,3500 Watt
Rp 670 Juta,"Kalimantan Timur, Samarinda, Sungai Pinang",60 m2,84 m2,SHM,-,2,2,N/A,1300 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",190 m2,204 m2,SHM,-,4,3,N/A,3500 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 1,1 Miliar","Kalimantan Timur, Samarinda, Samarinda Ilir",100 m2,120 m2,SHM,-,3,2,N/A,1300 Watt
"Rp 1,15 Miliar","Kalimantan Timur, Samarinda, Samarinda Seberang",63 m2,162 m2,SHM,-,2,1,N/A,2200 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",1930 m2,17949 m2,SHM,-,4,4,N/A,1300 Watt
"Rp 2,75 Miliar","Kalimantan Timur, Samarinda, Samarinda Ulu",140 m2,184 m2,SHM,-,5,3,N/A,2200 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Sungai Kunjang",220 m2,135 m2,SHM,-,4,4,N/A,2200 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Samarinda, Samarinda Kunjang",240 m2,135 m2,SHM,-,3,3,N/A,2200 Watt
"Rp 1,45 Miliar","Kalimantan Timur, Samarinda, Samarinda Kota",170 m2,190 m2,SHM,-,5,1,N/A,900 Watt
Rp 800 Juta,"Kalimantan Timur, Samarinda, Samarinda Ulu",150 m2,200 m2,SHM,-,3,2,N/A,1300 Watt
Rp 5 Miliar,"Kalimantan Timur, Samarinda, Samarinda Ulu",360 m2,314 m2,HGB,-,5,5,N/A,4400 Watt
