Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
Rp 7 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,-,800 m2,960 m2,SHM,-
"Rp 1,18 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,47 m2,78 m2,HGB,-
Rp 14 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,500 m2,1240 m2,SHM,Non-furnished
"Rp 1,24 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,145 m2,120 m2,SHM,Semi-furnished
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,300 m2,220 m2,HGB,Non-furnished
"Rp 3,9 Miliar","Kalimantan Timur, Balikpapan, Sepinggan",Rumah,-,500 m2,450 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Manggar",Rumah,Secondary,300 m2,400 m2,SHM,-
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,298 m2,200 m2,SHM,Semi-furnished
Rp 880 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,100 m2,108 m2,SHM,Semi-furnished
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,207 m2,144 m2,SHM,Semi-furnished
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,112 m2,157 m2,SHM,Semi-furnished
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,200 m2,243 m2,SHM,Non-furnished
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,150 m2,111 m2,SHM,Fully-furnished
Rp 548 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Primary,45 m2,165 m2,SHM,Non-furnished
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,96 m2,120 m2,HGB,Non-furnished
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,88 m2,98 m2,HGB,-
Rp 680 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,78 m2,108 m2,SHM,Semi-furnished
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Barat",Rumah,-,230 m2,350 m2,SHM,-
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,100 m2,248 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,200 m2,165 m2,SHM,-
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,350 m2,180 m2,SHM,Semi-furnished
"Rp 4,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,Secondary,250 m2,342 m2,SHM,Fully-furnished
"Rp 1,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,200 m2,530 m2,SHM,Semi-furnished
Rp 510 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,42 m2,87 m2,SHM,Non-furnished
"Rp 1,35 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,100 m2,120 m2,SHM,-
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Karang Jati",Rumah,Secondary,263 m2,283 m2,SHM,Fully-furnished
Rp 726 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,90 m2,157 m2,SHM,-
"
Rp 675 Juta
","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,110 m2,110 m2,SHM,Semi-furnished
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,240 m2,200 m2,SHM,Fully-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,200 m2,150 m2,SHM,-
"Rp 2,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,144 m2,138 m2,SHM,-
Rp 800 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,36 m2,36 m2,SHM,Non-furnished
Rp 675 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,-,145 m2,157 m2,SHM,-
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,300 m2,250 m2,SHM,Fully-furnished
"Rp 6,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,-,200 m2,516 m2,SHM,-
"Rp 2,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,144 m2,138 m2,SHM,Non-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,47 m2,72 m2,PPJB,Non-furnished
"Rp 2,1 Miliar","Kalimantan Timur, Balikpapan, Gunung Bahagia",Rumah,Secondary,280 m2,144 m2,SHM,Non-furnished
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,140 m2,200 m2,SHM,Semi-furnished
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,243 m2,250 m2,SHM,Semi-furnished
"Rp 2,53 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,80 m2,577 m2,SHM,Non-furnished
"Rp 2,45 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,210 m2,175 m2,HGB,Fully-furnished
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,92 m2,150 m2,SHM,-
"Rp 3,81 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,286 m2,84 m2,SHM,-
"Rp 1,75 Miliar Rp 90 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,150 m2,150 m2,SHM,Semi-furnished
"Rp 1,35 Miliar Rp 85 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,170 m2,360 m2,SHM,Non-furnished
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,65 m2,230 m2,SHM,Non-furnished
Rp 6 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,480 m2,240 m2,SHM,-
"Rp 970,28 Juta","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,47 m2,60 m2,PPJB,-
Rp 673 Juta,"Kalimantan Timur, Balikpapan, Sumber Rejo",Rumah,-,42 m2,78 m2,SHM,-
"Rp 1,32 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,85 m2,112 m2,SHM,Fully-furnished
Rp 925 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,77 m2,80 m2,SHM,-
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,72 m2,90 m2,SHM,-
Rp 800 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,144 m2,150 m2,SHM,-
Rp 600 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,195 m2,195 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,450 m2,150 m2,SHM,-
"Rp 1,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,95 m2,152 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,105 m2,154 m2,SHM,-
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,104 m2,150 m2,SHM,-
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,67 m2,160 m2,SHM,Non-furnished
"Rp 1,55 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,70 m2,140 m2,SHM,-
Rp 827 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Primary,63 m2,120 m2,SHM,Non-furnished
"Rp 1,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,70 m2,144 m2,SHM,Semi-furnished
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,130 m2,150 m2,SHM,Semi-furnished
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,210 m2,200 m2,SHM,Semi-furnished
Rp 25 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,1600 m2,1060 m2,SHM,Fully-furnished
"Rp 4,5 Miliar Rp 300 Juta","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,400 m2,450 m2,SHM,Fully-furnished
"Rp 2,85 Miliar Rp 80 Juta","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,200 m2,220 m2,HGB,Non-furnished
"Rp 2,09 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,268 m2,183 m2,SHM,Semi-furnished
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,127 m2,107 m2,HGB,Semi-furnished
"
Rp 698 Juta
","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Primary,40 m2,78 m2,SHM,-
"
Rp 1,8 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,114 m2,90 m2,SHM,Non-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,47 m2,72 m2,PPJB,-
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Primary,47 m2,72 m2,PPJB,Non-furnished
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,72 m2,800 m2,SHM,-
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Batu Ampar",Rumah,-,96 m2,100 m2,HGB,-
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,100 m2,208 m2,SHM,Fully-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Primary,116 m2,240 m2,HGB,Non-furnished
Rp 725 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,120 m2,120 m2,SHM,Non-furnished
"Rp 1,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,120 m2,97 m2,SHM,Fully-furnished
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,170 m2,155 m2,SHM,Non-furnished
"Rp 1,06 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Primary,65 m2,90 m2,SHM,Non-furnished
Rp 780 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Primary,45 m2,84 m2,SHM,-
"Rp 4,55 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,310 m2,475 m2,SHM,Fully-furnished
"Rp 1,87 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,110 m2,180 m2,SHM,Non-furnished
"Rp 2,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,180 m2,221 m2,SHM,Semi-furnished
"Rp 1,81 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Primary,61 m2,108 m2,SHM,Non-furnished
"Rp 7,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,341 m2,558 m2,SHM,Semi-furnished
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,120 m2,268 m2,SHM,-
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,70 m2,120 m2,SHM,Semi-furnished
"Rp 1,84 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,90 m2,250 m2,SHM,Semi-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,150 m2,145 m2,SHM,-
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,200 m2,180 m2,SHM,Non-furnished
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,40 m2,78 m2,SHM,Semi-furnished
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,70 m2,294 m2,SHM,Semi-furnished
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,92 m2,150 m2,SHM,Non-furnished
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Primary,36 m2,84 m2,HGB,Non-furnished
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,100 m2,100 m2,SHM,-
Rp 450 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,100 m2,100 m2,HGB,-
"Rp 3,95 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,200 m2,180 m2,HGB,Fully-furnished
Rp 560 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,Primary,62 m2,120 m2,HGB,Non-furnished
"Rp 6,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,300 m2,1407 m2,HGB,-
"Rp 4,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,310 m2,475 m2,SHM,-
"Rp 2,7 Miliar","Kalimantan Timur, Balikpapan, Gunung Bahagia",Rumah,Secondary,200 m2,300 m2,SHM,Non-furnished
"Rp 1,01 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,72 m2,120 m2,HGB,Semi-furnished
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,95 m2,70 m2,SHM,Semi-furnished
Rp 2 Miliar Rp 50 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,200 m2,200 m2,SHM,-
"Rp 3,6 Miliar","Kalimantan Timur, Balikpapan, Damai",Rumah,-,250 m2,240 m2,SHM,-
Rp 3 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,200 m2,200 m2,SHM,-
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,141 m2,160 m2,SHM,-
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,90 m2,180 m2,SHM,Non-furnished
Rp 800 Juta,"Kalimantan Timur, Balikpapan, Sepinggan",Rumah,-,192 m2,154 m2,Lain-lain,-
"Rp 4,05 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,200 m2,300 m2,SHM,Semi-furnished
"Rp 1,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,154 m2,171 m2,SHM,Non-furnished
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,100 m2,105 m2,SHM,Non-furnished
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,124 m2,151 m2,SHM,Non-furnished
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,250 m2,330 m2,SHM,Non-furnished
"
Rp 400 Juta
","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,Secondary,45 m2,84 m2,SHM,Semi-furnished
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,145 m2,120 m2,SHM,Fully-furnished
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,220 m2,374 m2,SHM,-
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,225 m2,311 m2,SHM,-
"Rp 3,75 Miliar","Kalimantan Timur, Balikpapan, Gn. Samarinda",Rumah,-,319 m2,319 m2,SHM,-
"Rp 1,45 Miliar","Kalimantan Timur, Balikpapan, Gn. Samarinda",Rumah,-,200 m2,211 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,-,96 m2,200 m2,SHM,-
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,-,68 m2,256 m2,SHM,-
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Sepinggan",Rumah,-,40 m2,100 m2,SHM,-
Rp 570 Juta,"Kalimantan Timur, Balikpapan, Sepinggan",Rumah,-,100 m2,100 m2,SHM,-
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Gn. Samarinda",Rumah,-,157 m2,272 m2,HGB,-
Rp 925 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,56 m2,135 m2,SHM,Non-furnished
"Rp 1,68 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,175 m2,91 m2,SHM,-
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,104 m2,150 m2,SHM,Fully-furnished
"Rp 7,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,-,176 m2,648 m2,SHM,-
Rp 495 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,56 m2,105 m2,SHM,Non-furnished
"Rp 9,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,536 m2,1195 m2,SHM,Semi-furnished
"
Rp 4 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,300 m2,214 m2,SHM,Semi-furnished
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,196 m2,98 m2,SHM,Non-furnished
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,111 m2,157 m2,SHM,Semi-furnished
"Rp 3,1 Miliar Rp 110 Juta","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,250 m2,200 m2,SHM,-
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,200 m2,300 m2,SHM,-
"Rp 3,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,414 m2,4300 m2,SHM,-
"Rp 2,95 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,289 m2,200 m2,SHM,Fully-furnished
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,160 m2,169 m2,SHM,Fully-furnished
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,72 m2,90 m2,SHM,Non-furnished
"Rp 1,6 Miliar Rp 130 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,260 m2,150 m2,SHM,Semi-furnished
"Rp 2,5 Miliar Rp 70 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,160 m2,169 m2,HGB,-
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,65 m2,78 m2,HGB,-
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,110 m2,180 m2,SHM,-
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,240 m2,200 m2,SHM,Non-furnished
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,80 m2,60 m2,SHM,Non-furnished
Rp 790 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,120 m2,150 m2,SHM,Non-furnished
"
Rp 550 Juta
","Kalimantan Timur, Balikpapan, Klandasan Ilir",Rumah,-,40 m2,40 m2,SHM,-
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,-,90 m2,120 m2,SHM,-
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,-,120 m2,180 m2,HGB,-
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,90 m2,90 m2,SHM,Non-furnished
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Barat",Rumah,-,180 m2,119 m2,SHM,-
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,300 m2,300 m2,SHM,Semi-furnished
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,93 m2,171 m2,SHM,-
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,-,298 m2,200 m2,SHM,-
Rp 3 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,240 m2,200 m2,SHM,Fully-furnished
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,200 m2,165 m2,SHM,Non-furnished
"Rp 1,55 Miliar Rp 65 Juta","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,126 m2,360 m2,SHM,Non-furnished
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Damai",Rumah,Secondary,90 m2,135 m2,SHM,Semi-furnished
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,70 m2,104 m2,SHM,Non-furnished
"Rp 4,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,520 m2,550 m2,SHM,Non-furnished
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,-,200 m2,200 m2,SHM,-
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,120 m2,120 m2,SHM,-
Rp 800 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,125 m2,127 m2,SHM,-
Rp 799 Juta,"Kalimantan Timur, Balikpapan, Sumber Rejo",Rumah,Secondary,135 m2,125 m2,SHM,-
Rp 575 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,45 m2,78 m2,PPJB,Non-furnished
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,154 m2,165 m2,SHM,-
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,90 m2,90 m2,SHM,-
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,160 m2,220 m2,SHM,-
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Klandasan Ulu",Rumah,Secondary,200 m2,450 m2,SHM,Non-furnished
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,110 m2,140 m2,SHM,Non-furnished
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,135 m2,135 m2,SHM,-
"
Rp 1,6 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,150 m2,180 m2,SHM,Non-furnished
"Rp 1,82 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,Secondary,91 m2,175 m2,SHM,Semi-furnished
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,226 m2,280 m2,SHM,Semi-furnished
"Rp 1,8 Miliar Rp 40 Juta","Kalimantan Timur, Balikpapan, Balikpapan Baru",Rumah,-,173 m2,198 m2,SHM,-
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",Rumah,-,170 m2,225 m2,SHM,-
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Damai",Rumah,Secondary,90 m2,135 m2,SHM,Non-furnished
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,320 m2,320 m2,SHM,Semi-furnished
Rp 990 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,110 m2,120 m2,SHM,-
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Damai",Rumah,Secondary,300 m2,250 m2,SHM,Semi-furnished
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,160.1 m2,135 m2,SHM,-
"Rp 1,35 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,132 m2,91 m2,SHM,Fully-furnished
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,130 m2,120 m2,SHM,-
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,46 m2,72 m2,SHM,-
"Rp 1,45 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,300 m2,201 m2,SHM,-
Rp 570 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,120 m2,180 m2,SHM,Non-furnished
"Rp 1,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,165 m2,240 m2,SHM,Semi-furnished
"Rp 1,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,120 m2,300 m2,SHM,Fully-furnished
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,150 m2,319 m2,SHM,-
Rp 835 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,140 m2,150 m2,SHM,Non-furnished
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,400 m2,330 m2,SHM,Non-furnished
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,268 m2,121 m2,SHM,-
"Rp 599,99 Juta Rp 30 Juta","Kalimantan Timur, Balikpapan, Balikpapan Timur",Rumah,-,60 m2,120 m2,SHM,-
Rp 975 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,Secondary,54 m2,168 m2,HGB,Non-furnished
"Rp 1,05 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,Secondary,45 m2,104 m2,SHM,Semi-furnished
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,154 m2,154 m2,SHM,-
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",Rumah,-,80 m2,112 m2,SHM,-
Rp 870 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",Rumah,-,60 m2,150 m2,SHM,-
