harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,garasi,listrik
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",112 m2,157 m2,SHM,Semi-furnished,3,2,N/A,4400 Watt
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",200 m2,243 m2,SHM,Non-furnished,4,3,N/A,2200 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",150 m2,111 m2,SHM,Fully-furnished,5,3,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",96 m2,120 m2,HGB,Non-furnished,6,6,N/A,1300 Watt
"Rp 1,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",88 m2,98 m2,HGB,-,3,3,N/A,1300 Watt
Rp 680 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",78 m2,108 m2,SHM,Semi-furnished,2,1,N/A,1300 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Barat",230 m2,350 m2,SHM,-,7,3,N/A,3500 Watt
"
Rp 1,8 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,248 m2,SHM,-,3+1,2+1,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",200 m2,165 m2,SHM,-,4,3,N/A,5500 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",350 m2,180 m2,SHM,Semi-furnished,4,4,N/A,3500 Watt
"Rp 4,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",250 m2,342 m2,SHM,Fully-furnished,4+1,5,N/A,5500 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 510 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",42 m2,87 m2,SHM,Non-furnished,2,1,N/A,1300 Watt
"
Rp 1,35 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,120 m2,SHM,-,4,3,N/A,3500 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Karang Jati",263 m2,283 m2,SHM,Fully-furnished,4,4,N/A,2200 Watt
Rp 726 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",90 m2,157 m2,SHM,-,2,2,N/A,4400 Watt
Rp 675 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",110 m2,110 m2,SHM,Semi-furnished,2,1,N/A,1300 Watt
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",240 m2,200 m2,SHM,Fully-furnished,6,4,N/A,1300 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",200 m2,150 m2,SHM,-,4,3,N/A,2200 Watt
"Rp 2,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",144 m2,138 m2,SHM,-,3+1,2+1,N/A,3500 Watt
"Rp 2,5 Miliar Rp 70 Juta","Kalimantan Timur, Balikpapan, Damai",160 m2,160 m2,HGB,-,4,3,N/A,4400 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",200 m2,204 m2,SHM,Non-furnished,5,3,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",47 m2,72 m2,SHM,Fully-furnished,2,1,N/A,2200 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",116 m2,227 m2,HGB,Fully-furnished,3+1,2+1,N/A,1300 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Kariangau",276 m2,318 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 2,09 Miliar","Kalimantan Timur, Balikpapan, Gunung Bahagia",120 m2,126 m2,HGB,-,3+1,3+1,N/A,2200 Watt
Rp 380 Juta,"Kalimantan Timur, Balikpapan, Lamaru",40 m2,80 m2,SHM,-,2,1,N/A,1300 Watt
Rp 800 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",36 m2,36 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
Rp 675 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",145 m2,157 m2,SHM,-,5,2,N/A,900 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 6,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",200 m2,516 m2,SHM,-,9,4,N/A,1300 Watt
"Rp 2,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",144 m2,138 m2,SHM,Non-furnished,3+1,3+1,N/A,2200 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",47 m2,72 m2,PPJB,Non-furnished,2,2,N/A,1300 Watt
"Rp 2,1 Miliar","Kalimantan Timur, Balikpapan, Gunung Bahagia",280 m2,144 m2,SHM,Non-furnished,4,2,N/A,2200 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",140 m2,200 m2,SHM,Semi-furnished,3+1,2+1,N/A,3500 Watt
"Rp 2,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",243 m2,250 m2,SHM,Semi-furnished,6,2,N/A,1300 Watt
"Rp 2,53 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",80 m2,577 m2,SHM,Non-furnished,4,3,N/A,2200 Watt
"Rp 2,45 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",210 m2,175 m2,HGB,Fully-furnished,3,2,N/A,2200 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",92 m2,150 m2,SHM,-,2,1,N/A,2200 Watt
"Rp 3,81 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",286 m2,84 m2,SHM,-,0,3,N/A,2200 Watt
Rp 770 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",90 m2,108 m2,SHM,Non-furnished,2,1,N/A,900 Watt
"Rp 1,75 Miliar Rp 90 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",150 m2,150 m2,SHM,Semi-furnished,4,3,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",105 m2,154 m2,SHM,-,4,4,N/A,2200 Watt
Rp 555 Juta,"Kalimantan Timur, Balikpapan, Kariangau",148 m2,171 m2,HGB,-,2,2,N/A,2200 Watt
Rp 990 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",170 m2,180 m2,SHM,Non-furnished,4,3,N/A,2200 Watt
"Rp 1,05 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",110 m2,225 m2,SHM,Semi-furnished,2,1+1,N/A,2200 Watt
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",106 m2,140 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"
Rp 800 Juta
","Kalimantan Timur, Balikpapan, Balikpapan Selatan",77 m2,200 m2,SHM,-,2,2,N/A,1300 Watt
"Rp 4,25 Miliar","Kalimantan Timur, Balikpapan, Batu Ampar",350 m2,770 m2,SHM,-,5,6,N/A,4400 Watt
"Rp 1,75 Miliar","Kalimantan Timur, Balikpapan, Gn. Samarinda",260 m2,150 m2,SHM,-,14,5,N/A,4400 Watt
Rp 400 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",36 m2,72 m2,HGB,-,2,1,N/A,1300 Watt
Rp 880 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",54 m2,106 m2,SHM,Fully-furnished,2,2,N/A,2200 Watt
Rp 5 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",280 m2,460 m2,SHM,Non-furnished,5,3,N/A,3500 Watt
Rp 885 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Timur",138 m2,90 m2,SHM,Fully-furnished,3,3,N/A,2200 Watt
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Timur",46 m2,120 m2,PPJB,-,2,1,N/A,1300 Watt
"Rp 1,4 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",104 m2,150 m2,SHM,-,6,3,N/A,2200 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",67 m2,160 m2,SHM,Non-furnished,2,1,N/A,2200 Watt
"Rp 1,55 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",70 m2,140 m2,SHM,-,3,2,N/A,2200 Watt
Rp 827 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",63 m2,120 m2,SHM,Non-furnished,2,1,N/A,2200 Watt
"Rp 1,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",70 m2,144 m2,SHM,Semi-furnished,2,1,N/A,2200 Watt
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",130 m2,150 m2,SHM,Semi-furnished,3,2,N/A,2200 Watt
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",210 m2,200 m2,SHM,Semi-furnished,6,6,N/A,4400 Watt
Rp 25 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",1600 m2,1060 m2,SHM,Fully-furnished,15,15,N/A,16500 Watt
"Rp 4,5 Miliar Rp 300 Juta","Kalimantan Timur, Balikpapan, Balikpapan Utara",400 m2,450 m2,SHM,Fully-furnished,3+2,3+1,N/A,2200 Watt
"Rp 2,85 Miliar Rp 80 Juta","Kalimantan Timur, Balikpapan, Balikpapan Tengah",200 m2,220 m2,HGB,Non-furnished,4,2,N/A,2200 Watt
"Rp 2,09 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",268 m2,183 m2,SHM,Semi-furnished,4,2,N/A,3500 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",127 m2,107 m2,HGB,Semi-furnished,4,2,N/A,1300 Watt
Rp 698 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",40 m2,78 m2,SHM,-,2,1,N/A,1300 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",114 m2,90 m2,SHM,Non-furnished,7,3,N/A,2200 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",47 m2,72 m2,PPJB,-,2,2,N/A,1300 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",47 m2,72 m2,PPJB,Non-furnished,2,2,N/A,1300 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",72 m2,800 m2,SHM,-,3,1,N/A,1300 Watt
"
Rp 700 Juta
","Kalimantan Timur, Balikpapan, Batu Ampar",96 m2,100 m2,HGB,-,2,1,N/A,1300 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,208 m2,SHM,Fully-furnished,3+1,3,N/A,5500 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",116 m2,240 m2,HGB,Non-furnished,3+1,2+1,N/A,1300 Watt
Rp 725 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",120 m2,120 m2,SHM,Non-furnished,3,1,N/A,3500 Watt
"Rp 1,25 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",120 m2,97 m2,SHM,Fully-furnished,3,2,N/A,4400 Watt
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",170 m2,155 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"Rp 1,06 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",65 m2,90 m2,SHM,Non-furnished,3,3,N/A,2200 Watt
Rp 780 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",45 m2,84 m2,SHM,-,3,1,N/A,1300 Watt
"Rp 4,55 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",310 m2,475 m2,SHM,Fully-furnished,4,3,N/A,2200 Watt
"Rp 1,87 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",110 m2,180 m2,SHM,Non-furnished,4,3,N/A,2200 Watt
"Rp 2,65 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",180 m2,221 m2,SHM,Semi-furnished,4,2,N/A,2200 Watt
"Rp 1,81 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",61 m2,108 m2,SHM,Non-furnished,2,2,N/A,2200 Watt
"Rp 7,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",341 m2,558 m2,SHM,Semi-furnished,5+1,3*1,N/A,5500 Watt
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",120 m2,268 m2,SHM,-,3,3,N/A,1300 Watt
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",70 m2,120 m2,SHM,Semi-furnished,3+1,1,N/A,2200 Watt
"Rp 1,84 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",90 m2,250 m2,SHM,Semi-furnished,3,1,N/A,3500 Watt
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",150 m2,145 m2,SHM,-,3+1,3+1,N/A,2200 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",200 m2,180 m2,SHM,Non-furnished,5,4,N/A,2200 Watt
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",40 m2,78 m2,SHM,Semi-furnished,2,1,N/A,1300 Watt
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Utara",70 m2,294 m2,SHM,Semi-furnished,3,1,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",92 m2,150 m2,SHM,Non-furnished,2+1,1,N/A,1300 Watt
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",36 m2,84 m2,HGB,Non-furnished,2,1,N/A,1300 Watt
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,100 m2,SHM,-,2,1,N/A,1300 Watt
Rp 450 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,100 m2,HGB,-,1,1,N/A,900 Watt
"Rp 3,95 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",200 m2,180 m2,HGB,Fully-furnished,3+1,3+1,N/A,2200 Watt
Rp 560 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Timur",62 m2,120 m2,HGB,Non-furnished,2,1,N/A,1300 Watt
"Rp 6,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",300 m2,1407 m2,HGB,-,4,4,N/A,10000 Watt
"Rp 4,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",310 m2,475 m2,SHM,-,4,3,N/A,7700 Watt
"Rp 2,7 Miliar","Kalimantan Timur, Balikpapan, Gunung Bahagia",200 m2,300 m2,SHM,Non-furnished,3,2,N/A,900 Watt
"Rp 1,01 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",72 m2,120 m2,HGB,Semi-furnished,4,2,N/A,2200 Watt
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",95 m2,70 m2,SHM,Semi-furnished,3,2,N/A,2200 Watt
Rp 2 Miliar Rp 50 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",200 m2,200 m2,SHM,-,4+1,3+1,N/A,2200 Watt
"Rp 3,6 Miliar","Kalimantan Timur, Balikpapan, Damai",250 m2,240 m2,SHM,-,4+1,3+1,N/A,3500 Watt
Rp 3 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",200 m2,200 m2,SHM,-,3,2,N/A,5500 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",90 m2,180 m2,SHM,Non-furnished,2,2,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 4,05 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",200 m2,300 m2,SHM,Semi-furnished,3+1,3,N/A,3500 Watt
"Rp 1,85 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",154 m2,171 m2,SHM,Non-furnished,4,2,N/A,1300 Watt
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",100 m2,105 m2,SHM,Non-furnished,2,2,N/A,1300 Watt
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",124 m2,151 m2,SHM,Non-furnished,3,3,N/A,2200 Watt
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",250 m2,330 m2,SHM,Non-furnished,3+1,2+1,N/A,6600 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",145 m2,120 m2,SHM,Fully-furnished,4,2,N/A,3500 Watt
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",220 m2,374 m2,SHM,-,3+2,2+1,N/A,6600 Watt
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",225 m2,311 m2,SHM,-,3+1,2+1,N/A,3500 Watt
"Rp 3,75 Miliar","Kalimantan Timur, Balikpapan, Gn. Samarinda",319 m2,319 m2,SHM,-,4+1,5,N/A,4400 Watt
"Rp 1,45 Miliar","Kalimantan Timur, Balikpapan, Gn. Samarinda",200 m2,211 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",96 m2,200 m2,SHM,-,3,1,N/A,1300 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",68 m2,256 m2,SHM,-,3+1,2+1,N/A,2200 Watt
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Sepinggan",40 m2,100 m2,SHM,-,2,1,N/A,2200 Watt
Rp 570 Juta,"Kalimantan Timur, Balikpapan, Sepinggan",100 m2,100 m2,SHM,-,3,2,N/A,1300 Watt
Rp 925 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",56 m2,135 m2,SHM,Non-furnished,2,2,N/A,2200 Watt
"Rp 1,68 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",175 m2,91 m2,SHM,-,3,3,N/A,3500 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",104 m2,150 m2,SHM,Fully-furnished,3,2,N/A,3500 Watt
"Rp 7,7 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",176 m2,648 m2,SHM,-,4,2,N/A,2200 Watt
Rp 495 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",56 m2,105 m2,SHM,Non-furnished,3,1,N/A,1300 Watt
"Rp 9,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",536 m2,1195 m2,SHM,Semi-furnished,5,3,N/A,23000 Watt
Rp 4 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",300 m2,214 m2,SHM,Semi-furnished,4,3,N/A,3500 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",196 m2,98 m2,SHM,Non-furnished,5,3,N/A,2200 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",111 m2,157 m2,SHM,Semi-furnished,3,2,N/A,4400 Watt
"Rp 3,1 Miliar Rp 110 Juta","Kalimantan Timur, Balikpapan, Balikpapan Utara",250 m2,200 m2,SHM,-,4+1,2+1,N/A,3500 Watt
"
Rp 5 Miliar
","Kalimantan Timur, Balikpapan, Balikpapan Selatan",200 m2,300 m2,SHM,-,4,3,N/A,3500 Watt
"Rp 3,75 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",414 m2,4300 m2,SHM,-,5,3,N/A,1300 Watt
"Rp 2,95 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",289 m2,200 m2,SHM,Fully-furnished,5+2,4+1,N/A,5500 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",160 m2,169 m2,SHM,Fully-furnished,4,3,N/A,4400 Watt
Rp 700 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",72 m2,90 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"Rp 1,6 Miliar Rp 130 Juta","Kalimantan Timur, Balikpapan, Balikpapan Selatan",260 m2,150 m2,SHM,Semi-furnished,4+1,2,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rp 900 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",70 m2,120 m2,HGB,-,2+1,2,N/A,1300 Watt
Rp 500 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",65 m2,78 m2,HGB,-,2,2,N/A,1300 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",240 m2,200 m2,SHM,Non-furnished,4,2,N/A,1300 Watt
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",80 m2,60 m2,SHM,Non-furnished,2,2,N/A,1300 Watt
Rp 790 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",120 m2,150 m2,SHM,Non-furnished,6,6,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Timur",90 m2,120 m2,SHM,-,3,2,N/A,2200 Watt
Rp 950 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Tengah",120 m2,180 m2,HGB,-,3,2,N/A,2200 Watt
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",90 m2,90 m2,SHM,Non-furnished,2,2,N/A,2200 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Barat",180 m2,119 m2,SHM,-,4,2,N/A,2200 Watt
"Rp 1,9 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",300 m2,300 m2,SHM,Semi-furnished,3,2,N/A,5500 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",93 m2,171 m2,SHM,-,3+1,2+1,N/A,1300 Watt
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",298 m2,200 m2,SHM,-,5+2,4+1,N/A,5500 Watt
Rp 3 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",240 m2,200 m2,SHM,Fully-furnished,3+1,4,N/A,5500 Watt
"Rp 2,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",200 m2,165 m2,SHM,Non-furnished,3+1,3,N/A,7700 Watt
"Rp 1,55 Miliar Rp 65 Juta","Kalimantan Timur, Balikpapan, Balikpapan Utara",126 m2,360 m2,SHM,Non-furnished,3,1,N/A,2200 Watt
"Rp 1,1 Miliar","Kalimantan Timur, Balikpapan, Damai",90 m2,135 m2,SHM,Semi-furnished,3,2,N/A,2200 Watt
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",70 m2,104 m2,SHM,Non-furnished,2,1,N/A,2200 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Baru",200 m2,200 m2,SHM,-,5,3,N/A,2200 Watt
Rp 650 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",120 m2,120 m2,SHM,-,2,2,N/A,1300 Watt
Rp 800 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",125 m2,127 m2,SHM,-,2,2,N/A,1300 Watt
Rp 799 Juta,"Kalimantan Timur, Balikpapan, Sumber Rejo",135 m2,125 m2,SHM,-,3,3,N/A,1300 Watt
Rp 575 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",45 m2,78 m2,PPJB,Non-furnished,2,1,N/A,1300 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",154 m2,165 m2,SHM,-,3,2,N/A,2200 Watt
Rp 750 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",90 m2,90 m2,SHM,-,3,2,N/A,2200 Watt
"Rp 2,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",160 m2,220 m2,SHM,-,3,3,N/A,5500 Watt
Rp 2 Miliar,"Kalimantan Timur, Balikpapan, Klandasan Ulu",200 m2,450 m2,SHM,Non-furnished,4,2,N/A,2200 Watt
"Rp 1,3 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",110 m2,140 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Balikpapan Utara",135 m2,135 m2,SHM,-,2,2,N/A,3500 Watt
"Rp 1,6 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",150 m2,180 m2,SHM,Non-furnished,3,2,N/A,4400 Watt
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Rp 2,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",226 m2,280 m2,SHM,Semi-furnished,5 + 1,5 + 1,N/A,4400 Watt
"Rp 1,8 Miliar Rp 40 Juta","Kalimantan Timur, Balikpapan, Balikpapan Baru",173 m2,198 m2,SHM,-,3,3,N/A,4400 Watt
"Rp 1,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Tengah",170 m2,225 m2,SHM,-,3+1,2,N/A,2200 Watt
Rp 1 Miliar,"Kalimantan Timur, Balikpapan, Damai",90 m2,135 m2,SHM,Non-furnished,3,2,N/A,2200 Watt
"Rp 1,8 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",320 m2,320 m2,SHM,Semi-furnished,5,3,N/A,3500 Watt
Rp 990 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Selatan",110 m2,120 m2,SHM,-,2,2,N/A,2200 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Damai",300 m2,250 m2,SHM,Semi-furnished,3,3,N/A,4400 Watt
"Rp 3,5 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",160.1 m2,135 m2,SHM,-,4,2,N/A,1300 Watt
"Rp 1,35 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Selatan",132 m2,91 m2,SHM,Fully-furnished,4,2,N/A,3500 Watt
"Rp 1,2 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",130 m2,120 m2,SHM,-,3+1,2,N/A,3500 Watt
"Rp 1,15 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",46 m2,72 m2,SHM,-,2,2,N/A,1300 Watt
"Rp 1,45 Miliar","Kalimantan Timur, Balikpapan, Balikpapan Utara",300 m2,201 m2,SHM,-,5,3,N/A,4400 Watt
Rp 570 Juta,"Kalimantan Timur, Balikpapan, Balikpapan Utara",120 m2,180 m2,SHM,Non-furnished,3,2,N/A,900 Watt
