,harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,lantai,predicted_price,diff_in_percent
31,"Rp 5,650,000",Balikpapan Utara,380.0,600,SHM,Unfurnished,3,4,10000,1,"Rp 4,698,500",16.84%
910,"Rp 2,700,000",Balikpapan Selatan,224.0,500,HGB,Unfurnished,2,1,1300,1,"Rp 3,069,800",-13.69%
36,"Rp 3,300,000",Balikpapan Selatan,300.0,315,SHM,Unfurnished,4,4,5500,1,"Rp 3,631,100",-10.03%
1216,"Rp 850,000",Balikpapan Utara,100.0,150,SHM,Unfurnished,3,2,1300,1,"Rp 988,300",-16.27%
120,"Rp 1,240,000",Balikpapan Selatan,145.0,120,SHM,Furnished,4,2,3500,2,"Rp 1,399,200",-12.84%
572,"Rp 750,000",Balikpapan Timur,130.0,130,SHM,Unfurnished,3,2,2200,1,"Rp 1,025,500",-36.73%
323,"Rp 2,200,000",Balikpapan Selatan,160.0,220,SHM,Unfurnished,3,3,5500,1,"Rp 2,510,900",-14.13%
1251,"Rp 1,650,000",Balikpapan Utara,246.0,250,SHM,Unfurnished,6,2,2200,1,"Rp 1,690,500",-2.46%
1260,"Rp 3,400,000",Balikpapan Tengah,220.0,305,SHM,Unfurnished,3,2,1300,1,"Rp 2,392,100",29.64%
1310,"Rp 620,000",Balikpapan Utara,60.0,165,SHM,Unfurnished,2,1,1300,1,"Rp 799,700",-28.99%
879,"Rp 5,500,000",Balikpapan Selatan,250.0,500,SHM,Unfurnished,4,3,5500,1,"Rp 5,629,200",-2.35%
1447,"Rp 3,500,000",Balikpapan Baru,275.0,198,SHM,Unfurnished,4,3,4400,2,"Rp 2,561,100",26.83%
329,"Rp 1,840,000",Balikpapan Baru,173.0,198,SHM,Unfurnished,3,3,4400,1,"Rp 2,417,200",-31.37%
839,"Rp 2,500,000",Balikpapan Selatan,200.0,135,SHM,Unfurnished,4,3,3500,2,"Rp 2,307,000",7.72%
752,"Rp 4,600,000",Balikpapan Selatan,300.0,485,SHM,Unfurnished,3,2,6600,1,"Rp 3,867,300",15.93%
843,"Rp 850,000",Balikpapan Utara,45.0,96,SHM,Unfurnished,2,1,1300,1,"Rp 579,600",31.81%
591,"Rp 650,000",Balikpapan Tengah,120.0,200,SHM,Unfurnished,3,2,1300,1,"Rp 1,139,400",-75.30%
130,"Rp 750,000",Balikpapan Selatan,100.0,150,SHM,Unfurnished,3,2,2200,1,"Rp 1,190,900",-58.79%
301,"Rp 500,000",Balikpapan Utara,65.0,78,HGB,Unfurnished,2,2,1300,1,"Rp 743,800",-48.76%
418,"Rp 780,000",Balikpapan Selatan,45.0,84,SHM,Unfurnished,3,1,1300,1,"Rp 650,100",16.66%
1451,"Rp 2,100,000",Balikpapan Utara,160.0,200,SHM,Unfurnished,3,2,2200,1,"Rp 1,726,800",17.77%
